state,condition,measure_id,measure_name,score,footnote,start_date,end_date
AK,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),157,"25, 26",2023-04-01,2024-03-31
AK,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),NA,"25, 26",2023-04-01,2024-03-31
AL,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),172,"25, 26",2023-04-01,2024-03-31
AL,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),191,"25, 26",2023-04-01,2024-03-31
AR,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),166,"25, 26",2023-04-01,2024-03-31
AR,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),206,"25, 26",2023-04-01,2024-03-31
AS,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),NA,5,2023-04-01,2024-03-31
AS,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),NA,5,2023-04-01,2024-03-31
AZ,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),205,"25, 26",2023-04-01,2024-03-31
AZ,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),200,"25, 26",2023-04-01,2024-03-31
CA,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),193,"25, 26",2023-04-01,2024-03-31
CA,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),206,"25, 26",2023-04-01,2024-03-31
